# Truth table
# Exported on Sun Dec 08 14:19:04 BRT 2024

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

Bin[7..0] | Bcd100[3..0] Bcd10[3..0] Bcd1[3..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
00000000  |     0000        0000        0000   
00000001  |     0000        0000        0001   
00000010  |     0000        0000        0010   
00000011  |     0000        0000        0011   
00000100  |     0000        0000        0100   
00000101  |     0000        0000        0101   
00000110  |     0000        0000        0110   
00000111  |     0000        0000        0111   
00001000  |     0000        0000        1000   
00001001  |     0000        0000        1001   
00001010  |     0000        0001        0000   
00001011  |     0000        0001        0001   
00001100  |     0000        0001        0010   
00001101  |     0000        0001        0011   
00001110  |     0000        0001        0100   
00001111  |     0000        0001        0101   
00010000  |     0000        0001        0110   
00010001  |     0000        0001        0111   
00010010  |     0000        0001        1000   
00010011  |     0000        0001        1001   
00010100  |     0000        0010        0000   
00010101  |     0000        0010        0001   
00010110  |     0000        0010        0010   
00010111  |     0000        0010        0011   
00011000  |     0000        0010        0100   
00011001  |     0000        0010        0101   
00011010  |     0000        0010        0110   
00011011  |     0000        0010        0111   
00011100  |     0000        0010        1000   
00011101  |     0000        0010        1001   
00011110  |     0000        0011        0000   
00011111  |     0000        0011        0001   
00100000  |     0000        0011        0010   
00100001  |     0000        0011        0011   
00100010  |     0000        0011        0100   
00100011  |     0000        0011        0101   
00100100  |     0000        0011        0110   
00100101  |     0000        0011        0111   
00100110  |     0000        0011        1000   
00100111  |     0000        0011        1001   
00101000  |     0000        0100        0000   
00101001  |     0000        0100        0001   
00101010  |     0000        0100        0010   
00101011  |     0000        0100        0011   
00101100  |     0000        0100        0100   
00101101  |     0000        0100        0101   
00101110  |     0000        0100        0110   
00101111  |     0000        0100        0111   
00110000  |     0000        0100        1000   
00110001  |     0000        0100        1001   
00110010  |     0000        0101        0000   
00110011  |     0000        0101        0001   
00110100  |     0000        0101        0010   
00110101  |     0000        0101        0011   
00110110  |     0000        0101        0100   
00110111  |     0000        0101        0101   
00111000  |     0000        0101        0110   
00111001  |     0000        0101        0111   
00111010  |     0000        0101        1000   
00111011  |     0000        0101        1001   
00111100  |     0000        0110        0000   
00111101  |     0000        0110        0001   
00111110  |     0000        0110        0010   
00111111  |     0000        0110        0011   
01000000  |     0000        0110        0100   
01000001  |     0000        0110        0101   
01000010  |     0000        0110        0110   
01000011  |     0000        0110        0111   
01000100  |     0000        0110        1000   
01000101  |     0000        0110        1001   
01000110  |     0000        0111        0000   
01000111  |     0000        0111        0001   
01001000  |     0000        0111        0010   
01001001  |     0000        0111        0011   
01001010  |     0000        0111        0100   
01001011  |     0000        0111        0101   
01001100  |     0000        0111        0110   
01001101  |     0000        0111        0111   
01001110  |     0000        0111        1000   
