# Truth table
# Exported on Wed Mar 13 21:32:54 BRT 2024

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

State[4..0] Instru[7..0] Status[2..0] | NextState[4..0] SelReg[3..0] SelAddr[2..0] Func[2..0]    WR[14..0]    BusSel
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
   00000      --------       ---      |      00001          0000          000         000     000000000000000   0   
   00001      --------       ---      |      00010          1011          011         000     000000000000000   0   
   00010      --------       ---      |      00011          1011          011         000     000000001100000   0   
   00011      00------       ---      |      00100          0000          100         000     000000000010000   0   
   00011      01------       ---      |      01000          0000          100         000     000000000010000   0   
   00011      1000----       ---      |      00110          0000          100         000     000000000010000   0   
   00011      100100--       ---      |      01100          0000          100         000     000000000010000   0   
   00011      100101--       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      100110--       ---      |      01101          0000          100         000     000000000010000   0   
   00011      100111--       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      1010-000       ---      |      11000          0000          100         000     000000000010000   0   
   00011      10100001       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      1010-010       ---      |      11000          0000          100         000     000000000010000   0   
   00011      10100011       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      1010-100       ---      |      11000          0000          100         000     000000000010000   0   
   00011      10100101       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      1010011-       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      101010-1       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      10101101       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      10101110       ---      |      10111          0000          100         000     000000000010000   0   
   00011      10101111       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      10110000       ---      |      01010          0000          100         000     000000000010000   0   
   00011      10110001       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      1011001-       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      101101--       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      10111---       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      11000000       ---      |      01110          0000          100         000     000000000010000   0   
   00011      11000001       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      1100001-       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      110001--       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      11001---       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      1101----       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      1110000-       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      11100010       ---      |      11001          0000          100         000     000000000010000   0   
   00011      11100011       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      11100100       ---      |      11001          0000          100         000     000000000010000   0   
   00011      11100101       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      11100110       ---      |      10001          0000          100         000     000000000010000   0   
   00011      11100111       ---      |      10100          0000          100         000     000000000010000   0   
   00011      11101000       ---      |      11001          0000          100         000     000000000010000   0   
   00011      11101001       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      1110101-       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      111011--       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      11110000       ---      |      11001          0000          100         000     000000000010000   0   
   00011      11110001       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      11110010       ---      |      11001          0000          100         000     000000000010000   0   
   00011      11110011       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      11110100       ---      |      11001          0000          100         000     000000000010000   0   
   00011      11110101       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      1111011-       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      11111000       ---      |      11001          0000          100         000     000000000010000   0   
   00011      11111001       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      1111101-       ---      |      -----          ----          ---         ---     ---------------   -   
   00011      111111--       ---      |      -----          ----          ---         ---     ---------------   -   
   00100      -----000       ---      |      00101          0000          000         000     000000000000000   0   
   00100      -----001       ---      |      00101          0001          000         000     000000000000000   0   
   00100      -----010       ---      |      00101          0010          000         000     000000000000000   0   
   00100      -----011       ---      |      00101          0011          000         000     000000000000000   0   
   00100      -----100       ---      |      00101          0100          000         000     000000000000000   0   
   00100      -----101       ---      |      00101          0101          000         000     000000000000000   0   
   00100      -----110       ---      |      00101          0110          000         000     000000000000000   0   
   00100      -----111       ---      |      00101          0111          000         000     000000000000000   0   
   00101      --000000       ---      |      00001          0000          000         000     100000000000000   0   
   00101      --000001       ---      |      00001          0001          000         000     100000000000000   0   
   00101      --000010       ---      |      00001          0010          000         000     100000000000000   0   
   00101      --000011       ---      |      00001          0011          000         000     100000000000000   0   
   00101      --000100       ---      |      00001          0100          000         000     100000000000000   0   
   00101      --000101       ---      |      00001          0101          000         000     100000000000000   0   
   00101      --000110       ---      |      00001          0110          000         000     100000000000000   0   
   00101      --000111       ---      |      00001          0111          000         000     100000000000000   0   
   00101      --001000       ---      |      00001          0000          000         000     010000000000000   0   
   00101      --001001       ---      |      00001          0001          000         000     010000000000000   0   
   00101      --001010       ---      |      00001          0010          000         000     010000000000000   0   
   00101      --001011       ---      |      00001          0011          000         000     010000000000000   0   
   00101      --001100       ---      |      00001          0100          000         000     010000000000000   0   
   00101      --001101       ---      |      00001          0101          000         000     010000000000000   0   
   00101      --001110       ---      |      00001          0110          000         000     010000000000000   0   
   00101      --001111       ---      |      00001          0111          000         000     010000000000000   0   
   00101      --010000       ---      |      00001          0000          000         000     001000000000000   0   
   00101      --010001       ---      |      00001          0001          000         000     001000000000000   0   
   00101      --010010       ---      |      00001          0010          000         000     001000000000000   0   
