# Truth table
# Exported on Tue Dec 03 10:59:09 BRT 2024

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

cin A[2..0] B[2..0] | Sum[3..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 0    000     000   |   0000   
 0    000     001   |   0001   
 0    000     010   |   0010   
 0    000     011   |   0011   
 0    000     100   |   0100   
 0    000     101   |   0101   
 0    000     110   |   0110   
 0    000     111   |   0111   
 0    001     000   |   0001   
 0    001     001   |   0010   
 0    001     010   |   0011   
 0    001     011   |   0100   
 0    001     100   |   0101   
 0    001     101   |   0110   
 0    001     110   |   0111   
 0    001     111   |   1000   
 0    010     000   |   0010   
 0    010     001   |   0011   
 0    010     010   |   0100   
 0    010     011   |   0101   
 0    010     100   |   0110   
 0    010     101   |   0111   
 0    010     110   |   1000   
 0    010     111   |   1001   
 0    011     000   |   0011   
 0    011     001   |   0100   
 0    011     010   |   0101   
 0    011     011   |   0110   
 0    011     100   |   0111   
 0    011     101   |   1000   
 0    011     110   |   1001   
 0    011     111   |   1010   
 0    100     000   |   0100   
 0    100     001   |   0101   
 0    100     010   |   0110   
 0    100     011   |   0111   
 0    100     100   |   1000   
 0    100     101   |   1001   
 0    100     110   |   1010   
 0    100     111   |   1011   
 0    101     000   |   0101   
 0    101     001   |   0110   
 0    101     010   |   0111   
 0    101     011   |   1000   
 0    101     100   |   1001   
 0    101     101   |   1010   
 0    101     110   |   1011   
 0    101     111   |   1100   
 0    110     000   |   0110   
 0    110     001   |   0111   
 0    110     010   |   1000   
 0    110     011   |   1001   
 0    110     100   |   1010   
 0    110     101   |   1011   
 0    110     110   |   1100   
 0    110     111   |   1101   
 0    111     000   |   0111   
 0    111     001   |   1000   
 0    111     010   |   1001   
 0    111     011   |   1010   
 0    111     100   |   1011   
 0    111     101   |   1100   
 0    111     110   |   1101   
 0    111     111   |   1110   
 1    000     000   |   0001   
 1    000     001   |   0010   
 1    000     010   |   0011   
 1    000     011   |   0100   
 1    000     100   |   0101   
 1    000     101   |   0110   
 1    000     110   |   0111   
 1    000     111   |   1000   
 1    001     000   |   0010   
 1    001     001   |   0011   
 1    001     010   |   0100   
 1    001     011   |   0101   
 1    001     100   |   0110   
 1    001     101   |   0111   
 1    001     110   |   1000   
 1    001     111   |   1001   
 1    010     000   |   0011   
 1    010     001   |   0100   
 1    010     010   |   0101   
 1    010     011   |   0110   
 1    010     100   |   0111   
 1    010     101   |   1000   
 1    010     110   |   1001   
 1    010     111   |   1010   
 1    011     000   |   0100   
 1    011     001   |   0101   
 1    011     010   |   0110   
 1    011     011   |   0111   
 1    011     100   |   1000   
 1    011     101   |   1001   
 1    011     110   |   1010   
 1    011     111   |   1011   
 1    100     000   |   0101   
 1    100     001   |   0110   
 1    100     010   |   0111   
 1    100     011   |   1000   
 1    100     100   |   1001   
 1    100     101   |   1010   
 1    100     110   |   1011   
 1    100     111   |   1100   
 1    101     000   |   0110   
 1    101     001   |   0111   
 1    101     010   |   1000   
 1    101     011   |   1001   
 1    101     100   |   1010   
 1    101     101   |   1011   
 1    101     110   |   1100   
 1    101     111   |   1101   
 1    110     000   |   0111   
 1    110     001   |   1000   
 1    110     010   |   1001   
 1    110     011   |   1010   
 1    110     100   |   1011   
 1    110     101   |   1100   
 1    110     110   |   1101   
 1    110     111   |   1110   
 1    111     000   |   1000   
 1    111     001   |   1001   
 1    111     010   |   1010   
 1    111     011   |   1011   
 1    111     100   |   1100   
 1    111     101   |   1101   
 1    111     110   |   1110   
 1    111     111   |   1111   
