# Truth table
# Generated by gen_truth_table.py

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

a[2..0] b[2..0] | c[4..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
000 000 | 00010
000 001 | 00011
000 010 | 00100
000 011 | 00101
000 100 | 00110
000 101 | 00111
000 110 | 01000
000 111 | 01001
001 000 | 00011
001 001 | 00100
001 010 | 00101
001 011 | 00110
001 100 | 00111
001 101 | 01000
001 110 | 01001
001 111 | 01010
010 000 | 00100
010 001 | 00101
010 010 | 00110
010 011 | 00111
010 100 | 01000
010 101 | 01001
010 110 | 01010
010 111 | 01011
011 000 | 00101
011 001 | 00110
011 010 | 00111
011 011 | 01000
011 100 | 01001
011 101 | 01010
011 110 | 01011
011 111 | 01100
100 000 | 00110
100 001 | 00111
100 010 | 01000
100 011 | 01001
100 100 | 01010
100 101 | 01011
100 110 | 01100
100 111 | 01101
101 000 | 00111
101 001 | 01000
101 010 | 01001
101 011 | 01010
101 100 | 01011
101 101 | 01100
101 110 | 01101
101 111 | 01110
110 000 | 01000
110 001 | 01001
110 010 | 01010
110 011 | 01011
110 100 | 01100
110 101 | 01101
110 110 | 01110
110 111 | 01111
111 000 | 01001
111 001 | 01010
111 010 | 01011
111 011 | 01100
111 100 | 01101
111 101 | 01110
111 110 | 01111
111 111 | 10000
